name,pct_change,total_mv,up_num,down_num
中药概念,0.77,186890705.6,115.0,24.0
食品安全,1.95,32296880.0,38.0,5.0
上证180_,1.18,4183856332.8,131.0,42.0
上证50_,0.87,2632304358.4,37.0,11.0
央视50_,1.05,1517057510.4,37.0,11.0
油气设服,1.53,195133689.6,56.0,7.0
参股保险,1.76,566458496.0,67.0,11.0
页岩气,1.57,265767035.2,35.0,6.0
海工装备,2.01,113795425.6,40.0,2.0
参股新三板,2.17,138335428.8,90.0,10.0
水利建设,1.67,204798779.2,95.0,11.0
融资融券,2.61,9021911449.6,3275.0,324.0
风能,2.09,629837030.4,198.0,19.0
长江三角,1.87,818425113.6,353.0,39.0
铁路基建,2.06,291747588.8,108.0,7.0
西部大开发,1.94,1049905075.2,539.0,50.0
太阳能,2.4,740272102.4,376.0,20.0
智能电网,2.36,182679424.0,156.0,16.0
LED,3.21,133837201.6,89.0,5.0
云计算,3.13,792650368.0,212.0,19.0
稀土永磁,3.53,94676748.8,61.0,1.0
核能核电,1.97,277913678.4,127.0,9.0
锂电池,2.79,741110604.8,357.0,23.0
预盈预增,2.32,1696127283.2,1150.0,129.0
预亏预减,2.34,1099181465.6,1169.0,85.0
深成500,2.2,2180743168.0,416.0,72.0
股权激励,2.83,446201241.6,188.0,14.0
滨海新区,1.55,20373228.9,18.0,1.0
移动支付,3.12,339524955.2,69.0,3.0
物联网,3.56,816863078.4,343.0,20.0
机构重仓,2.16,4162597939.2,853.0,91.0
深圳特区,2.95,922814822.4,311.0,28.0
生物疫苗,1.02,101407480.0,57.0,9.0
黄金概念,0.64,154058361.6,35.0,17.0
基金重仓,2.52,699449779.2,60.0,15.0
QFII重仓,2.22,328652187.2,235.0,31.0
成渝特区,1.49,219050368.0,78.0,6.0
转债标的,2.18,741876198.4,441.0,44.0
参股银行,1.32,1099007820.8,184.0,32.0
参股期货,1.62,298219505.6,43.0,2.0
新材料,2.43,399008921.6,321.0,20.0
社保重仓,1.81,41572987.2,21.0,8.0
稀缺资源,1.18,302726187.2,66.0,12.0
参股券商,1.46,395594585.6,114.0,19.0
化工原料,1.38,110705483.2,58.0,9.0
ST股,0.86,46506156.8,83.0,33.0
